Timestamp,Occurrences_Generated,Occurrences_GroundTruth
2024-12-12 13:16:53.213000,2,2
2024-12-18 19:01:06.427000,2,3
2024-12-19 03:02:26.517000,3,2
2024-12-19 04:20:04.727000,1,1
2024-12-19 07:53:12.993000,3,3
2024-12-19 08:07:15.877000,1,0
2024-12-19 09:18:48.620000,0,1
2024-12-19 12:02:41.827000,2,1
2024-12-19 12:21:02.947000,1,0
2024-12-20 04:19:55.430000,1,1
2024-12-20 07:58:11.863000,1,1
2024-12-20 10:41:15.540000,2,1
2024-12-20 13:46:27.470000,1,0
2024-12-20 18:06:05.217000,2,1
2024-12-20 19:09:09.560000,1,1
2024-12-20 21:55:13.663000,1,1
2024-12-23 10:33:55.297000,1,1
2024-12-23 20:14:56.540000,1,1
2024-12-24 02:53:21.233000,1,0
2024-12-24 06:56:38.650000,1,1
2024-12-26 04:30:49.460000,1,1
2024-12-26 11:21:12.130000,1,1
2024-12-26 16:15:05.873000,1,1
2024-12-26 18:31:37.327000,1,1
2024-12-27 07:57:18.850000,2,1
2024-12-27 11:55:58.350000,2,2
2024-12-27 12:35:41.313000,2,1
2024-12-27 13:45:43.617000,1,1
2024-12-27 18:49:09.403000,1,0
2024-12-29 22:56:54.217000,1,1
2024-12-30 02:25:19.703000,1,0
2024-12-30 04:13:04.807000,1,0
2024-12-30 04:19:17.430000,1,1
2024-12-30 13:56:58.280000,0,1
2024-12-30 15:27:15.043000,0,2
2024-12-30 16:10:27.690000,1,1
2024-12-30 16:17:27.347000,0,1
2024-12-30 18:48:38.300000,2,1
2024-12-30 19:04:19.817000,1,1
